song,  singer, time,    class, rating
"
            We Sing. We Dance. We Steal Things.
       ",Jason Mraz , 2008-05-13 , 民谣,9.1
"
            Viva La Vida
                ",Coldplay , 2008-06-17 , 摇滚,8.7
"
            华丽的冒险
                ",陈绮贞 , 2005-09-23 , 流行,8.9
"
            范特西
                ",周杰伦 , 2001-09-14 , 流行,9.2
"
            後。青春期的詩
                ",五月天 , 2008-10-23 , 摇滚,8.8
"
            是时候
                ",孙燕姿 , 2011-03-08 , 流行,8.6
"
            Lenka
       ",Lenka , 2008-09-23 , 流行,8.5
"
            Start from Here
                ",王若琳 , 2008-01-11 , 爵士,8.7
"
            旅行的意义
       ",陈绮贞 , 2004-02-02 , 流行,9.2
"
            太阳
                ",陈绮贞 , 2009-01-22 , 流行,8.6
"
            Once (Soundtrack)
                ","Glen Hansard,Marketa Irglova ", 2007-05-22 , 原声,9.1
"
            Not Going Anywhere
                ",Keren Ann , 2004-08-24 , 民谣,8.9
"
            American Idiot
       ",Green Day , 2004-09-21 , 摇滚,8.9
"
            OK
                ",张震岳 , 2007-07-06 , 流行,8.8
"
            無與倫比的美麗
                ",苏打绿 , 2007-11-02 , 流行,8.6
"
            亲爱的...我还不知道
                ",张悬 , 2007-07-20 , CD,8.5
"
            城市
                ",张悬 , 2009-05-22 , 摇滚,8.3
"
            O
       ",Damien Rice ,2003, 流行,9.1
"
            Wake Me Up When September Ends
                ",Green Day , 2005-06-13 , 摇滚,9.3
"
            叶惠美
                ",周杰伦 , 2003-07-31 , 流行,8.5
"
            七里香
                ",周杰伦 ,2004, 流行,8.1
"
            21
       ",Adele , 2011-02-01 , 流行,9
"
            My Life Will...
       ",张悬 , 2006-06-09 , 流行,8.6
"
            寓言
       ",王菲 ,2000, 流行,9.3
"
            你在烦恼什么
                ",苏打绿 , 2011-11-11 , 流行,8.9
"
            感官/世界
                ",林宥嘉 , 2009-10-30 , 流行,8.7
"
            Nevermind
       ",Nirvana ,1991, 摇滚,9.2
